SN,ISO3,ADMIN1_NAME,ADMIN2_NAME,IU_NAME,LocationName,Latitude,Longitude,LocationType,SurveyYear,Method_1,Method_2,Examined,Positive,Prevalence
839,CMR,Sud,Vallée-du-Ntem,Ambam,Abang Min,2.32,11.43,Village,2003,Clinical,Nodule Palpation,42,7,0.167
840,CMR,Est,Lom-et-Djérem,Garoua Boulai,Abbo Boutila,5.714778,14.448111,Village,2013,Parasitological,Parasitology (Skin Biopsy),253,6,0.024
841,CMR,Est,Lom-et-Djérem,Garoua Boulai,Abbo Boutila,5.714778,14.448111,Village,2013,Clinical,Nodule Palpation,253,10,0.04
842,CMR,Adamaoua,Vina,Ngaoundere Rural,Abdi,7.18,14.2,Village,2003,Clinical,Nodule Palpation,31,2,0.065
843,CMR,Sud,Dja-et-Lobo,Sangmelima,Abeck,2.636944,12.334722,Village,2005,Clinical,Nodule Palpation,30,12,0.4
844,CMR,Est,Lom-et-Djérem,Garoua Boulai,Abo-Bouti,5.75,14.4166,Village,2004,Clinical,Nodule Palpation,30,2,0.067
845,CMR,Sud,Dja-et-Lobo,Djoum,Aboulou,2.293333,12.139167,Village,2005,Clinical,Nodule Palpation,35,7,0.2
846,CMR,Est,Lom-et-Djérem,Bertoua,Aboumadja,4.655556,13.327778,Village,,Clinical,Nodule Palpation,52,6,0.115
847,CMR,Est,Lom-et-Djérem,Bertoua,Adiah,4.994444,13.361111,Village,,Clinical,Nodule Palpation,40,4,0.1
848,CMR,Est,Haut-Nyong,Messamena,Adjane,3.416667,12.8,Village,2004,Clinical,Nodule Palpation,20,7,0.35
849,CMR,Sud,Mvila,Ebolowa,Adjap,2.54,11.49,Village,2003,Clinical,Nodule Palpation,30,1,0.033
850,CMR,Centre,Nyong-et-Foumou,Meyomessala,Adjap,3.429444,12.174167,Village,2005,Clinical,Nodule Palpation,37,5,0.135
851,CMR,Sud,Océan,Kribi,Adjap/Nie,2.816667,10.194444,Village,,Clinical,Nodule Palpation,49,1,0.02
852,CMR,Sud,Mvila,Ebolowa,Adjap/Yev,2.95,11.05,Village,,Clinical,Nodule Palpation,19,1,0.053
853,CMR,Centre,Méfou-et-Afamba,Soa,Afan Esse,4.180556,11.627778,Village,,Clinical,Nodule Palpation,37,22,0.595
854,CMR,Sud,Océan,Kribi,Afan Esso Kye,2.38095,9.97692,Village,2013,Parasitological,Parasitology (Skin Biopsy),79,0,0
855,CMR,Sud,Océan,Kribi,Afan Esso Kye,2.38095,9.97692,Village,2013,Clinical,Nodule Palpation,80,3,0.038
856,CMR,Sud,Mvila,Mvangan,Afanengon,2.77,11.2,Village,2003,Clinical,Nodule Palpation,30,0,0
857,CMR,Sud,Vallée-du-Ntem,Ebolowa,Akame Mes,2.59,11.33,Village,2003,Clinical,Nodule Palpation,40,2,0.05
858,CMR,Sud,Océan,Ebolowa,Akie,3.277778,10.911111,Village,,Clinical,Nodule Palpation,51,0,0
859,CMR,Centre,Nyong-et-So'o,Zoetele,Akoeman,3.2,11.583333,Village,,Clinical,Nodule Palpation,42,0,0
860,CMR,Sud,Océan,Kribi,Akom I,2.8201,10.11742,Village,2013,Parasitological,Parasitology (Skin Biopsy),237,1,0.004
861,CMR,Sud,Océan,Kribi,Akom I,2.8201,10.11742,Village,2013,Clinical,Nodule Palpation,239,3,0.013
862,CMR,Sud,Dja-et-Lobo,Messamena,Akom Ndon,2.996944,12.627778,Village,2005,Clinical,Nodule Palpation,48,18,0.375
863,CMR,Sud,Océan,Kribi,Akom/Ma'a,2.441667,10.316667,Village,,Clinical,Nodule Palpation,30,0,0
864,CMR,Sud,Océan,Lolodorf,Akom/Mven,3.377778,11.027778,Village,,Clinical,Nodule Palpation,30,0,0
865,CMR,Sud,Dja-et-Lobo,Sangmelima,Akomessin,2.941944,11.7625,Village,2005,Clinical,Nodule Palpation,47,10,0.213
866,CMR,Sud,Dja-et-Lobo,Djoum,Akon Tang,2.876389,12.837778,Village,2005,Clinical,Nodule Palpation,32,16,0.5
867,CMR,Sud-Ouest,Manyu,Eyumodjock,Akwen-Mba,5.758333,9.061944,Village,,Clinical,Nodule Palpation,40,21,0.525
868,CMR,Nord,Faro,Poli,Alani,8.461111,12.411111,Village,,Clinical,Nodule Palpation,30,9,0.3
869,CMR,Sud,Mvila,Mvangan,Alotome,2.67,11.67,Village,2003,Clinical,Nodule Palpation,30,0,0
870,CMR,Sud,Dja-et-Lobo,Meyomessala,Alouma,3.269444,12.196944,Village,2005,Clinical,Nodule Palpation,53,21,0.396
871,CMR,Sud,Dja-et-Lobo,Sangmelima,Alouma,2.979444,11.868056,Village,2005,Clinical,Nodule Palpation,45,14,0.311
872,CMR,Sud,Mvila,Ebolowa,Ando'o,2.88,11.1,Village,2003,Clinical,Nodule Palpation,30,2,0.067
873,CMR,Est,Lom-et-Djérem,Bertoua,Andom,4.65,13.416667,Village,,Clinical,Nodule Palpation,30,12,0.4
874,CMR,Centre,Mbam-et-Kim,Bafia,Angandjimberete,4.8833,11.35,Village,,Parasitological,Parasitology (Skin Biopsy),179,92,0.514
875,CMR,Est,Haut-Nyong,Nguelemendouka,Angossas,4.066667,12.983333,Village,2004,Clinical,Nodule Palpation,39,1,0.026
876,CMR,Nord,Faro,Poli,Aoudi,8.361111,12.333333,Village,,Clinical,Nodule Palpation,30,17,0.567
877,CMR,Est,Haut-Nyong,Messamena,Apadjok,3.683333,12.716667,Village,2004,Clinical,Nodule Palpation,49,3,0.061
878,CMR,Sud-Ouest,Manyu,Mamfe,Ashum,5.5775,9.35,Village,,Clinical,Nodule Palpation,50,26,0.52
879,CMR,Sud,Vallée-du-Ntem,Ambam,Assandjik,2.37,11.34,Village,2003,Clinical,Nodule Palpation,34,1,0.029
880,CMR,Sud,Dja-et-Lobo,Sangmelima,Assok Yev,3.023889,12.056944,Village,2005,Clinical,Nodule Palpation,49,13,0.265
881,CMR,Adamaoua,Mayo-Banyo,Bankim,Atta,6.45,11.2833,Village,,Clinical,Nodule Palpation,41,1,0.024
882,CMR,Sud,Dja-et-Lobo,Zoetele,Avebe Ess,3.153611,11.993056,Village,2005,Clinical,Nodule Palpation,51,17,0.333
883,CMR,Sud,Dja-et-Lobo,Djoum,Aveube,2.747222,13.037778,Village,2005,Clinical,Nodule Palpation,38,15,0.395
884,CMR,Centre,Méfou-et-Afamba,Mfou,Awae I,3.85,11.883333,Village,,Clinical,Nodule Palpation,21,0,0
885,CMR,Nord-Ouest,Mezam,Bali,Awing,5.843056,10.108333,Village,,Clinical,Nodule Palpation,31,1,0.032
886,CMR,Est,Haut-Nyong,Doume,Ayene,4.4,13.566667,Village,2004,Clinical,Nodule Palpation,50,1,0.02
887,CMR,Sud-Ouest,Manyu,Eyumodjock,Ayukaba,5.70742,9.14414,Village,,Parasitological,Parasitology (Skin Biopsy),227,16,0.07
888,CMR,Sud,Dja-et-Lobo,Sangmelima,Azem,2.9075,12.263333,Village,2005,Clinical,Nodule Palpation,51,13,0.255
889,CMR,Nord,Bénoué,Mayo Oulo,Babessa,9.818889,13.597222,Village,2003,Clinical,Nodule Palpation,50,0,0
890,CMR,Nord-Ouest,Ngoketunjia,Tubah,Babungo,6.054167,10.444444,Village,,Clinical,Nodule Palpation,34,3,0.088
891,CMR,Sud-Ouest,Manyu,Mamfe,Bachou Akagbe,5.69222,9.4438,Village,,Parasitological,Parasitology (Skin Biopsy),323,66,0.204
892,CMR,Sud-Ouest,Manyu,Mamfe,Bachuo Ta,5.691667,9.4,Village,,Clinical,Nodule Palpation,82,37,0.451
893,CMR,Sud-Ouest,Meme,Kumba,Badouma,4.833333,9.456667,Village,,Clinical,Nodule Palpation,31,21,0.677
894,CMR,Sud-Ouest,Ndian,Mundemba,Bafaka,4.725,9.163056,Village,,Clinical,Nodule Palpation,50,33,0.66
895,CMR,Sud-Ouest,Fako,Buea,Bafia,4.35371,9.31791,Village,,Parasitological,Parasitology (Skin Biopsy),306,17,0.056
896,CMR,Sud-Ouest,Fako,Buea,Bafia,4.360833,9.316667,Village,,Clinical,Nodule Palpation,50,26,0.52
897,CMR,Ouest,Bamboutos,Mbouda,Bagam,5.683333,10.3,Village,,Clinical,Nodule Palpation,50,36,0.72
898,CMR,Est,Kadey,Batouri,Bagbetout,4.066667,13.8,Village,2004,Clinical,Nodule Palpation,50,3,0.06
899,CMR,Est,Haut-Nyong,Doume,Bagoloul,4.05,13.133333,Village,2004,Clinical,Nodule Palpation,50,1,0.02
900,CMR,Nord,Mayo-Rey,Rey Bouba,Baila,8.672222,14.916667,Village,,Clinical,Nodule Palpation,30,4,0.133
901,CMR,Adamaoua,Vina,Ngaoundere Rural,Bakari-Ba,7,14.27,Village,2003,Clinical,Nodule Palpation,31,13,0.419
902,CMR,Adamaoua,Vina,Djohong,Bakari-Ba,6.933333,14.6,Village,,Clinical,Nodule Palpation,30,1,0.033
903,CMR,Ouest,Haut-Nkam,Bandja,Bakassa,5.168783,10.288058,Village,2011,Parasitological,Parasitology (Skin Biopsy),310,15,0.048
904,CMR,Ouest,Nkoung-Khi,Bandjoun,Bakassa(Pm),5.414722,10.456389,Village,,Parasitological,Parasitology (Skin Biopsy),269,8,0.03
905,CMR,Sud-Ouest,Manyu,Mamfe,Bakebe I,5.5575,9.558056,Village,,Clinical,Nodule Palpation,52,42,0.808
906,CMR,Sud-Ouest,Kupe-Muanenguba,Konye,Bakolle,4.960833,9.510833,Village,,Clinical,Nodule Palpation,50,38,0.76
907,CMR,Ouest,Haut-Nkam,Kekem,Bakondji,5.208333,10.133333,Village,,Clinical,Nodule Palpation,30,25,0.833
908,CMR,Centre,Mbam-et-Inoubou,Saa,Balamba II,4.4333,11.2333,Village,,Parasitological,Parasitology (Skin Biopsy),212,104,0.491
909,CMR,Nord,Faro,Poli,Balkossa,8.5,12.433333,Village,,Clinical,Nodule Palpation,30,10,0.333
910,CMR,Ouest,Bamboutos,Mbouda,Balloum,5.625,10.35,Village,,Clinical,Nodule Palpation,39,31,0.795
911,CMR,Nord,Mayo-Louti,Figuil,Bambalo,9.79,14.056667,Village,2003,Clinical,Nodule Palpation,5,4,0.8
912,CMR,Est,Lom-et-Djérem,Betare Oya,Bambouti,5.083333,14.033333,Village,2004,Clinical,Nodule Palpation,47,0,0
913,CMR,Nord,Bénoué,Garoua I,Bame,9.075,13.6,Village,,Clinical,Nodule Palpation,18,4,0.222
914,CMR,Ouest,Bamboutos,Galim,Bamendjin,5.705556,10.488889,Village,,Clinical,Nodule Palpation,50,40,0.8
915,CMR,Ouest,Hauts-Plateaux,Bamendjou,Bamendjou,5.388889,10.333333,Village,,Clinical,Nodule Palpation,36,19,0.528
916,CMR,Ouest,Menoua,Dschang,Bamendou,5.455556,10.202778,Village,,Clinical,Nodule Palpation,34,13,0.382
917,CMR,Nord-Ouest,Mezam,Tubah,Bamessing,5.976388,10.3625,Village,,Clinical,Nodule Palpation,46,3,0.065
918,CMR,Ouest,Mifi,Penka Michel,Bamougoum,5.5125,10.341667,Village,,Clinical,Nodule Palpation,39,21,0.538
919,CMR,Ouest,Haut-Nkam,Bandja,Bana,5.155556,10.273611,Village,,Clinical,Nodule Palpation,30,24,0.8
920,CMR,Est,Boumba-et-Ngoko,Yokadouma,Bandekok,3.220917,15.009667,Village,2013,Parasitological,Parasitology (Skin Biopsy),162,0,0
921,CMR,Est,Boumba-et-Ngoko,Yokadouma,Bandekok,3.220917,15.009667,Village,2013,Clinical,Nodule Palpation,162,15,0.093
922,CMR,Est,Boumba-et-Ngoko,Yokadouma,Bandekok,3.216667,15.011111,Village,,Clinical,Nodule Palpation,26,2,0.077
923,CMR,Ouest,Nkoung-Khi,Baham,Bandjoun,5.366667,10.416667,Village,,Clinical,Nodule Palpation,30,22,0.733
924,CMR,Littoral,Wouri,Bonassama,Banen,4.12,9.683889,Village,2006,Clinical,Nodule Palpation,15,0,0
925,CMR,Ouest,Bamboutos,Batcham,Bangang,5.55,10.166667,Village,,Clinical,Nodule Palpation,30,18,0.6
926,CMR,Ouest,Ndé,Bangangte,Bangangte,5.1,10.625,Village,,Clinical,Nodule Palpation,30,25,0.833
927,CMR,Est,Lom-et-Djérem,Garoua Boulai,Bangbel,5.671667,14.133056,Village,2004,Clinical,Nodule Palpation,41,0,0
928,CMR,Est,Boumba-et-Ngoko,Yokadouma,Bangue,3.011111,15.177778,Village,,Clinical,Nodule Palpation,28,1,0.036
929,CMR,Ouest,Hauts-Plateaux,Baham,Banka,5.308333,10.343056,Village,,Clinical,Nodule Palpation,50,38,0.76
930,CMR,Adamaoua,Mayo-Banyo,Bankim,Bankim,6.081944,11.488889,Village,,Clinical,Nodule Palpation,30,10,0.333
931,CMR,Ouest,Haut-Nkam,Bamendjou,Bankondji,5.353611,10.235,Village,,Parasitological,Parasitology (Skin Biopsy),417,11,0.026
